ZipcodesGeoid_PK,Total_Income,LessThanHighSchoolGraduate,HighSchoolGraduate,SomeCollegeOrAssociate,BachelorsDegree,GraduateOrProfessionalDegree
24957,0,0,0,0,0,0
24962,0,0,0,0,0,0
24963,31448,0,27984,47955,35278,0
24966,23214,11250,21932,26000,40938,0
24970,23458,11964,23581,29306,26974,0
24974,35329,0,0,0,0,0
24976,26750,17969,26150,0,0,65994
24977,40946,0,0,0,45125,0
24981,23523,0,0,0,0,0
24983,25601,42719,23617,36875,37115,0
24984,0,0,0,28879,0,0
24986,26948,22212,24864,27336,40556,45833
24991,35403,0,28810,23750,0,0
25002,0,0,0,0,0,0
25003,36024,0,36964,30305,51563,0
25005,"25,000",0,0,"25,000",0,0
25007,0,0,0,0,0,0
25008,0,0,0,0,0,0
25009,29179,0,28286,33641,0,0
25011,40391,0,40359,24761,42096,0
25015,31757,31524,27404,27440,45227,49125
25019,0,0,12273,23875,0,0
25021,0,0,0,0,0,0
25022,0,0,0,0,0,0
25024,30526,0,30789,17788,0,0
25025,70438,0,0,0,0,0
25028,36220,0,0,36250,0,0
25030,48487,0,49408,32500,0,0
25031,32161,0,0,31804,0,0
25033,30410,11333,31528,24355,39286,45000
25035,31175,0,30725,0,0,0
25036,24321,0,24973,0,0,0
25039,34900,55036,21771,38068,51250,0
25040,33194,0,40893,0,0,0
25043,26591,8558,24167,0,31835,31058
25044,12159,0,0,0,0,0
25045,32003,0,31362,30340,46250,41528
25047,12422,0,12422,0,0,0
25048,0,0,0,0,0,0
25049,34306,0,31500,0,42083,0
25051,0,0,0,0,0,0
25053,36698,0,31250,43750,50240,0
25054,0,0,50128,0,0,0
25057,0,0,0,0,0,0
25059,37569,0,51111,32218,0,0
25060,40417,0,0,0,0,0
25061,35601,0,0,0,0,0
25062,0,0,0,0,0,0
25063,26000,26161,24830,21681,0,40288
25064,31987,21023,26438,30560,44515,53047
25067,40054,15357,56250,40982,37188,0
25070,40385,52727,31813,37750,48750,93920
25071,35911,23706,29643,33690,45474,60694
25075,45347,0,26920,0,0,0
25076,29286,0,21940,0,0,0
25081,41250,0,36667,66615,40192,0
25082,27917,0,15798,23350,53269,70262
25083,30000,0,26821,45594,29393,0
25085,21771,15580,24375,37813,37159,0
25086,32500,18393,21761,27125,48333,42813
25088,33750,0,0,0,0,0
25090,0,0,0,0,0,0
25093,0,0,0,0,0,0
25102,26154,0,26607,26458,0,0
25103,0,0,0,0,0,0
25106,6761,0,6136,0,0,0
25107,56179,0,55250,0,0,0
25108,0,0,0,76324,0,0
25109,48235,0,81597,0,0,0
25110,50806,0,0,51639,0,0
25111,35978,0,35761,0,0,0
25112,0,0,0,0,0,0
25113,29034,0,29659,23415,0,0
25114,38828,0,39818,0,0,0
25115,0,0,0,0,0,0
25118,30333,0,37813,22321,0,0
25119,0,0,12139,0,0,0
25121,17625,0,18484,18110,0,0
25123,32545,0,33043,0,0,0
25124,41977,0,41917,40455,51131,51250
25125,34286,33929,42308,0,0,0
25126,0,0,0,0,0,0
25130,36728,28523,35556,29107,44167,39961
25132,0,0,0,0,0,0
25133,26143,15434,0,26429,0,52935
25134,27991,0,29955,0,0,0
25136,28125,16094,19306,0,39792,69722
25139,63458,0,0,0,63625,0
25140,23056,0,28188,35057,0,0
25141,16484,0,"25,000",0,0,0
25142,38882,0,39539,0,0,0
25143,36025,24167,26020,38662,41853,49696
25148,14792,0,12917,0,0,0
25149,35750,0,0,0,0,0
25152,42232,0,34479,54063,0,0
25154,32250,0,0,0,0,0
25156,0,0,0,0,0,0
25159,33415,35142,30010,31588,52370,60515
25160,0,0,0,0,0,0
25161,37750,0,46442,32000,0,0
25162,45833,0,22262,51458,56932,46042
25164,14271,0,0,9940,0,0
25165,32212,0,29519,41375,0,0
25168,35691,14519,27055,37083,54375,0
25169,21944,13448,0,26146,0,0
25173,28024,0,28871,0,0,0
25174,70478,0,71103,0,0,0
25177,31252,13568,25939,30652,40013,54635
25180,0,0,0,0,0,0
25181,26319,0,27014,0,0,0
25183,0,0,0,0,0,0
25185,0,2891,8426,"25,000",0,0
25186,27228,0,25054,0,0,0
25187,33811,0,26154,36233,0,0
25193,25156,0,17750,36250,0,0
25201,0,0,0,0,0,0
25202,31208,0,24063,26979,44219,80313
25203,0,0,0,0,0,0
25204,26500,0,21250,28550,0,0
25205,26875,0,0,0,0,0
25206,0,0,0,0,0,0
25208,25804,0,22679,49792,0,0
25209,29917,0,45030,28229,0,0
25211,0,0,0,0,0,0
25213,38432,21280,30827,33750,53125,69583
25214,17107,0,16536,0,0,0
25234,29968,0,28109,25792,58616,0
25235,29167,0,0,21250,5947,0
25239,26694,0,26250,30924,38942,0
25241,35650,0,35000,29303,49479,0
25243,32750,0,0,35192,0,0
25244,19209,0,18281,0,16379,0
25245,35847,0,34938,38158,0,0
25247,22969,0,28333,16917,0,0
25248,31773,0,32540,22263,80402,0
25251,32273,37031,0,0,0,0
25252,46406,40648,82939,0,42411,0
25253,31639,14034,26217,36786,0,60673
25259,28750,0,25375,44318,0,0
25260,30924,24107,24301,31827,36563,0
25261,14167,0,0,0,0,0
25262,40872,0,55000,41886,22917,0
25264,0,0,0,0,0,0
25265,31875,0,32188,22917,45625,51250
25266,30139,0,42344,0,0,0
25267,34188,17262,40313,43200,0,0
25268,26389,18523,0,0,0,0
25270,31852,0,30000,0,42083,48000
25271,35132,26833,26380,28429,39922,52375
25275,28125,0,25735,27750,0,30820
25276,25498,18424,22125,22076,40905,55000
25285,35341,0,0,30909,45833,46761
25286,31895,0,40104,32339,0,0
25287,26094,0,21792,35594,0,0
25301,26563,3594,16518,20333,41382,54931
25302,31324,18493,21454,29094,39578,51234
25303,38592,21654,31707,30222,44093,64891
25304,40253,11429,26010,31429,43906,70986
25305,0,0,0,0,0,0
25306,27688,23142,25874,26484,70185,47125
25309,32277,25577,25280,28656,42946,79318
25311,33654,23365,23825,28930,44595,65926
25312,31958,13171,27470,35625,42316,53359
25313,39660,15944,32646,36092,50059,61642
25314,50762,0,26013,32478,52254,80205
25315,25778,20333,23490,30000,40000,0
25320,35320,38750,35488,32617,36406,59773
25401,26866,16408,21064,26426,37904,51033
25403,41941,28889,36337,37054,53155,56992
25404,33237,22228,26790,38230,49531,55938
25405,38967,34643,24650,40996,47161,62422
25411,30355,22407,27443,26687,40525,48542
25413,38929,33000,37453,37083,38667,81220
25414,51217,28424,33927,54825,62488,80432
25419,41719,0,34432,49950,51250,56285
25420,38504,31125,36386,41029,41094,53750
25422,27135,0,25216,29888,0,0
25425,43469,20607,36841,38098,70481,80000
25427,35673,15493,32887,35257,71607,46696
25428,39897,32484,31397,41700,65054,76827
25430,41911,25804,31969,47520,60417,69327
25431,31327,0,31327,0,0,0
25432,35294,0,35662,0,0,0
25434,28659,31786,25654,33750,76250,0
25437,31250,0,31333,30372,0,0
25438,30869,23906,22466,35840,42361,50000
25442,41034,33526,20679,41979,60850,51484
25443,40156,24567,27148,44609,38684,71893
25444,35962,0,33750,0,0,0
25446,29821,0,26343,56250,58333,135729
25501,40705,0,37188,40655,0,0
25502,29145,0,28059,31375,0,0
25503,0,0,0,51000,0,0
25504,35444,9754,27618,28417,52619,72813
25505,21034,0,35234,0,0,0
25506,22416,0,20539,0,0,0
25507,42500,0,31364,42083,51607,44750
25508,31524,22448,27894,31964,44079,37356
25510,38958,9044,29832,36875,52714,53889
25511,33355,0,27114,0,0,0
25512,50032,0,50705,0,0,0
25514,25795,10978,37813,26151,21750,0
25515,34750,0,33278,0,48289,0
25517,35091,0,37177,32750,0,0
25520,35759,0,0,35019,0,0
25521,26500,0,29388,21172,0,0
25523,30867,21250,25990,22583,38688,84375
25524,43519,52031,67681,33214,27357,49000
25526,41077,24653,27485,36496,53491,76045
25529,50313,0,35795,53618,0,0
25530,29317,40521,25781,29269,45893,45294
25534,40129,0,0,0,0,0
25535,33588,0,22969,35833,52227,0
25537,31109,13200,31028,26042,51161,62622
25540,0,0,0,0,0,0
25541,37287,25636,29018,33590,47011,52143
25545,36238,36449,25748,40478,78889,80037
25547,39870,0,0,51977,0,0
25550,27907,12259,31343,22500,0,62159
25555,41750,0,41167,30781,0,0
25557,26632,0,27500,25665,0,0
25559,32870,0,29000,0,43000,0
25560,49936,0,36149,47004,62269,62596
25564,35128,0,22500,70179,0,0
25565,26406,31005,24063,0,0,0
25567,0,0,6360,39306,0,66150
25570,25446,22083,23569,28594,0,44125
25571,23613,21023,23472,27375,0,0
25573,0,0,0,0,0,0
25601,30641,9975,27043,37949,33977,51667
25606,40167,0,26488,66313,0,0
25607,31797,0,35250,31133,0,0
25608,19091,0,0,0,0,0
25611,44120,0,43917,43782,0,0
25617,34531,0,34844,28095,38056,0
25621,31552,32273,13315,37639,40000,37578
25624,0,0,0,0,0,0
25625,39350,0,41364,31750,33850,52115
25628,0,0,0,0,0,0
25630,24375,27778,0,24063,0,0
25632,17500,0,22700,0,0,0
25634,30962,0,0,14145,0,0
25635,32386,46563,25843,42955,0,0
25637,29212,0,29338,27727,0,0
25638,20163,0,19348,12344,73750,0
25639,0,0,16328,48750,0,0
25644,0,0,34458,0,0,0
25646,31060,"25,000",0,32201,71696,0
25647,0,0,0,0,0,0
25649,50244,0,53546,29792,0,0
25650,40750,0,63382,31000,0,0
25651,37273,35909,0,0,0,0
25652,25125,0,0,0,0,0
25653,50465,0,51483,0,0,0
25654,43750,0,0,0,0,0
25661,28737,0,27453,25034,35208,45250
25666,21250,0,0,24185,0,0
25669,35337,0,31513,0,0,0
25670,31321,14635,36290,34228,35556,65625
25671,31689,0,31458,31532,0,0
25672,37143,0,0,0,0,0
25674,37969,67938,41761,31989,34559,30417
25676,30370,0,25114,33942,0,0
25678,32350,0,40801,0,23864,0
25688,0,0,37841,0,0,0
25690,30288,0,22250,36319,0,0
25692,21979,0,49464,20000,0,0
25696,21172,0,0,0,0,0
25699,0,0,0,0,0,0
25701,27796,11065,21263,22364,34759,50915
25702,28250,18292,26821,24466,22413,54867
25703,17066,9714,21250,14583,25714,0
25704,30301,16779,25502,29957,38417,46667
25705,32438,10845,22617,26745,44030,50516
25801,31117,14949,25706,30594,42138,52161
25810,29063,0,29063,0,0,0
25811,0,0,0,0,0,0
25812,25560,0,19474,18333,39667,52955
25813,23686,15694,20476,23824,34779,37625
25817,30806,0,31750,0,0,0
25818,35905,0,0,0,0,0
25820,25455,0,0,0,0,0
25823,25533,0,20599,26442,0,0
25825,43925,50679,42500,29250,50481,0
25826,0,0,0,0,0,0
25827,27083,25660,29102,0,0,43668
25831,37292,0,35625,70855,50694,0
25832,31467,0,22204,27674,45455,73423
25836,0,0,0,0,0,0
25837,27647,0,29559,0,0,0
25839,24226,0,70833,0,0,0
25840,31431,26063,27440,19390,38964,64583
25841,24256,0,24211,0,0,0
25843,42039,0,29976,36771,0,0
25844,66789,0,66228,70465,0,0
25845,37598,0,60231,25912,0,0
25846,0,0,0,0,0,0
25848,0,0,0,0,36250,0
25849,0,0,40139,0,0,0
25853,0,0,0,0,0,0
25854,30306,0,26731,30938,0,0
25855,0,0,0,0,0,0
25857,11223,0,0,0,0,0
25862,0,0,0,0,0,0
25864,33523,0,40417,0,0,0
25865,31359,24063,45139,0,0,0
25868,31083,0,27396,0,46875,0
25870,8750,0,0,0,0,0
25871,50417,0,0,62639,0,0
25873,41632,0,41071,0,0,0
25875,27118,0,24185,0,0,0
25876,61250,0,0,0,0,0
25878,23553,0,18894,0,0,0
25879,30473,31216,0,0,0,0
25880,25717,23611,29914,19405,41776,49844
25882,30549,16188,29531,23750,31493,46354
25901,31879,21927,27400,31085,37569,44886
25902,0,0,0,0,0,0
25904,37333,0,21154,0,82734,0
25906,27546,0,28056,0,0,0
25907,0,0,0,0,0,0
25908,37054,0,0,0,0,0
25911,0,0,0,0,0,0
25913,0,0,0,0,0,0
25915,24375,0,31250,0,0,0
25916,0,0,0,0,0,0
25917,28920,33750,26331,28547,0,0
25918,31222,0,25699,31207,45081,53482
25920,22135,0,0,0,0,0
25921,24018,33333,22285,22083,31083,0
25922,0,0,0,45357,0,0
25928,41042,0,13438,0,0,0
25932,54323,0,90688,0,0,0
25936,25625,0,0,0,0,0
25938,35167,0,51316,31026,68125,0
25942,0,0,0,0,0,0
25951,28466,"25,000",25250,29779,42664,38458
25958,20250,0,12813,0,42578,0
25962,26503,26741,21886,25750,41563,0
25969,32589,0,28750,0,54018,39583
25971,39531,0,0,0,38711,45500
25972,0,0,0,0,0,0
25976,30238,0,28239,32095,0,35781
25977,0,0,0,0,0,0
25978,35486,0,35694,0,0,0
25979,30848,0,27262,35625,22946,0
25981,40250,0,0,0,0,0
25984,24653,41307,21172,30625,0,33929
25985,13274,0,14345,0,0,0
25989,41949,0,41719,0,0,0
26003,32309,14784,25500,28963,41708,53873
26030,31875,27750,31250,31042,45625,48750
26031,22225,8500,25318,20446,31042,0
26032,38438,0,25938,43750,37250,45625
26033,29512,0,25469,32917,38993,0
26034,27715,22134,27180,27868,59250,62813
26035,35074,0,34598,30219,63011,0
26036,59881,0,59583,0,70350,0
26037,31013,0,26429,30235,39750,53563
26038,28333,0,27200,23400,24904,46983
26039,41167,0,0,0,55655,0
26040,28536,0,25464,30673,38438,0
26041,30505,30078,29509,28740,36970,60022
26047,31450,26402,29632,27841,62875,39942
26050,24375,0,25000,30324,33696,0
26055,40625,0,29050,57609,0,0
26056,0,0,0,0,0,0
26059,36007,0,40000,26827,38625,121429
26060,32258,35179,26719,34659,27596,57500
26062,30744,18707,22547,30589,40466,57193
26070,33084,17008,23446,32870,40458,51193
26074,27344,0,26094,18125,51250,52500
26075,27143,0,23558,31250,50000,0
26101,24490,12944,22790,22122,35653,45993
26104,35110,24609,27141,30318,44757,54138
26105,36508,20982,19315,38318,48710,76250
26133,31725,21000,16477,30172,52708,70179
26134,27446,0,25313,30917,40250,0
26136,28083,0,16042,52907,0,0
26137,30423,0,28021,0,0,0
26138,0,0,0,0,0,0
26141,0,0,0,0,0,0
26142,34239,0,36186,31625,40932,0
26143,30052,17889,33267,21389,42292,61667
26146,50278,0,33889,60375,90833,0
26147,31846,43207,27417,30703,46389,31613
26148,27917,0,28148,0,0,0
26149,22321,24306,21875,18958,48500,36250
26150,37722,13949,20556,38613,46026,60735
26151,35083,0,39306,32462,0,0
26152,0,0,38144,0,0,0
26155,26595,15195,25491,25532,35329,44048
26159,27007,9236,24960,30833,38750,39375
26160,31250,0,25580,33841,31619,0
26161,37679,0,37679,0,0,0
26164,27841,17112,24813,25462,34538,58214
26167,55792,0,50556,0,0,65682
26169,25208,0,22344,40833,0,0
26170,33578,10341,32313,30219,37143,60441
26175,27284,21667,22679,27404,40064,46731
26178,36250,0,0,0,0,0
26180,25438,0,21033,24712,25179,46389
26181,40717,17422,28750,36769,56507,49514
26184,26941,0,20952,43603,32727,0
26187,42461,0,25216,42500,56741,54375
26201,31871,16696,29134,28046,41167,44679
26202,42143,0,21765,0,0,0
26203,0,0,0,0,0,0
26205,26790,0,20571,0,72865,52417
26206,18690,14537,20521,0,0,0
26208,40109,0,47250,21447,15893,44000
26209,25909,0,0,13750,26667,0
26215,0,0,0,0,0,0
26217,0,0,0,0,0,0
26218,30879,32072,24118,0,76806,32270
26222,0,0,0,10707,0,0
26224,37284,0,40938,37159,0,0
26228,0,0,0,0,0,0
26230,0,0,0,0,0,0
26234,30464,0,39118,16422,27586,0
26236,0,0,0,0,0,0
26237,30192,0,30865,0,0,0
26238,31277,32396,28272,36167,0,0
26241,30924,22336,24160,29029,33779,55300
26250,24410,20469,26310,25625,20461,46786
26253,31318,7740,28259,36120,53482,0
26254,30000,0,25625,41250,0,0
26257,27177,38125,20893,31875,46023,126012
26259,0,0,0,0,0,0
26260,25439,13603,23333,26198,0,18906
26261,24952,25387,24096,10556,38690,50855
26263,25147,0,21023,0,0,0
26264,26833,27679,21629,32202,35938,0
26266,9286,0,0,0,0,0
26267,0,0,"25,000",13750,55417,0
26268,0,0,0,0,0,0
26269,25658,25625,22311,40167,50694,0
26270,28571,0,27833,0,0,55313
26271,29844,0,31875,38542,22917,0
26273,20724,0,27375,12768,0,0
26275,25000,0,24844,36250,0,0
26276,28155,0,21736,0,0,0
26278,44271,0,59148,26250,0,0
26280,30718,35750,26477,38409,33804,49135
26282,0,0,0,0,0,0
26283,26314,21250,25261,23036,53438,52963
26285,31053,0,30750,0,0,0
26287,29965,22679,24635,31546,35000,42813
26288,25223,25646,23668,20938,30982,40950
26291,66875,0,0,0,0,0
26292,19803,0,18558,21190,0,0
26293,26184,0,21852,25769,70197,0
26294,21949,9491,30167,0,26563,0
26296,36652,0,36473,0,0,0
26298,0,0,0,0,0,0
26301,28224,20748,24889,26675,42500,56989
26320,27969,6250,28365,29167,0,0
26321,31167,0,42188,0,0,0
26323,26597,41500,26563,25875,0,0
26325,0,0,35417,0,0,0
26327,0,0,0,0,0,0
26330,46757,21411,27719,40870,54712,68788
26335,20506,0,20859,0,20870,0
26337,30966,0,32452,11613,0,0
26338,36445,0,41304,35977,0,0
26339,0,0,0,0,0,0
26342,29609,0,25865,56705,30781,0
26343,"25,000",0,"25,000",0,0,0
26346,26424,0,26743,24194,0,62500
26347,37308,18750,20227,37552,70313,58750
26348,22500,0,22500,0,0,0
26349,24167,0,0,0,0,0
26351,21571,8528,14036,17303,31638,51563
26354,30036,12132,27269,31769,31510,40341
26361,0,0,0,0,0,0
26362,32474,12679,33182,26339,39271,55083
26366,0,0,0,0,0,0
26369,31625,0,40385,0,0,0
26372,48750,0,0,0,0,51471
26374,30330,0,27317,31685,0,0
26376,43173,68250,42821,0,0,0
26377,19479,0,19792,0,0,0
26378,36712,22045,36250,34137,37386,51875
26384,27043,18542,26768,0,0,0
26385,38388,22083,38102,40286,42059,45750
26386,29514,0,27872,36597,0,0
26404,0,0,19375,0,0,0
26405,21611,20962,21449,17188,0,36204
26408,46406,48125,36298,44464,52467,73197
26410,24250,17404,30238,21071,0,50938
26411,26331,30972,22139,26569,36979,0
26412,25652,0,26060,0,0,0
26415,25175,0,25703,23442,34107,50063
26416,24153,16875,26722,21679,29957,47014
26419,27778,0,21250,25313,61389,35000
26421,0,0,40809,13583,0,0
26422,22000,0,22188,46364,0,0
26424,30833,30667,35385,0,0,0
26425,21853,10357,22455,37813,0,0
26426,30721,9753,28153,26143,41750,52500
26430,35729,48269,21333,45481,32500,55500
26431,34492,25288,29421,36136,37500,55000
26435,0,0,0,0,0,0
26436,0,0,0,0,0,0
26437,29732,31813,28344,0,0,0
26438,0,0,0,0,0,0
26440,31125,22083,36750,27917,60625,0
26443,0,0,85000,0,0,0
26444,34855,35893,35801,31293,34358,40938
26447,23917,0,0,24125,0,0
26448,35417,0,42083,25398,54188,0
26451,30781,7083,25000,35833,0,48036
26452,28257,14479,24802,30110,43036,44297
26456,30276,30990,28113,38889,0,46250
26501,31759,21912,25629,28658,41644,48938
26505,36164,21765,28849,28732,36904,53129
26508,42480,24864,27078,35570,51067,72680
26519,26232,21250,26891,26181,25833,77500
26520,39000,0,39250,30813,40787,50909
26521,52083,0,54306,0,0,0
26525,27406,"25,000",26113,22065,40789,78423
26534,31109,0,32926,39625,0,0
26537,25492,17344,23925,18984,46198,54107
26541,34279,21223,32463,32813,50859,0
26542,29750,26458,21714,35486,48250,60000
26543,49412,0,0,0,0,0
26547,30278,0,23750,26222,38173,46250
26554,34582,20250,25165,31998,48467,55949
26559,39135,54063,26204,35357,43603,81429
26560,36250,0,36379,0,0,0
26562,28611,0,28889,0,0,0
26563,30769,0,0,0,0,0
26568,33077,0,27095,24750,58068,0
26570,28448,25417,27099,26420,34926,45089
26571,41061,20729,41417,45350,35385,85833
26572,0,0,0,0,0,0
26574,27292,32250,24063,0,0,53542
26575,35536,22543,35962,63250,125781,40938
26576,40313,0,0,0,0,0
26581,20833,0,26406,0,32938,0
26582,30221,0,25649,31602,46080,59444
26585,38125,0,47644,36389,0,0
26586,19250,0,19250,0,0,0
26587,41417,0,48214,21875,88631,0
26588,31099,0,31156,26890,27361,42024
26590,38750,0,0,36818,46346,0
26591,36464,16875,0,28482,44125,0
26601,23378,16563,22412,17459,30256,42159
26610,18300,0,17550,0,32125,0
26611,0,0,0,0,0,0
26615,25268,0,16597,0,0,0
26617,0,0,16071,0,0,0
26619,41791,0,41736,0,0,0
26621,27191,8936,27145,62885,0,0
26623,30638,0,31023,29375,31354,0
26624,32308,0,31780,22136,42750,43000
26627,50750,0,50750,0,0,0
26629,0,0,0,0,0,0
26631,28319,0,29784,0,0,0
26636,0,0,20556,0,0,0
26638,24250,0,0,0,0,0
26651,31241,21750,25076,30916,45669,56343
26656,40417,0,0,0,0,0
26660,35959,0,0,32206,0,0
26662,49231,0,0,0,45069,84197
26676,46250,0,36857,0,0,0
26678,30313,0,39259,0,87850,0
26679,40495,0,24919,41875,45500,69167
26680,0,0,31103,0,0,0
26681,31176,0,35208,25706,0,0
26684,0,0,0,0,0,0
26690,32639,0,22321,55104,0,0
26691,22246,0,25104,0,0,0
26704,34116,20762,34076,35238,37875,50417
26705,29028,0,35500,35000,0,0
26707,33681,0,32708,0,0,0
26710,25218,0,23904,27303,0,0
26711,34583,33500,36419,24601,36653,0
26714,0,0,0,0,0,0
26716,27188,30982,25972,26964,0,0
26717,25526,18889,35435,15682,56000,0
26719,32727,0,20281,36513,48235,61510
26720,0,0,0,0,0,0
26722,30664,31125,24966,0,0,0
26726,29161,37625,24335,26582,43578,38083
26731,26815,0,0,0,0,0
26739,31731,0,31538,25786,0,0
26743,31895,0,31148,41424,0,0
26750,27895,0,23438,32273,0,0
26753,34890,26148,27093,31667,45199,64095
26755,35189,35697,0,33631,0,0
26757,27221,13924,26832,20353,41442,50484
26761,23462,0,20962,0,0,0
26763,30635,35573,25756,38281,50921,0
26764,25595,32813,22432,27167,0,37813
26767,23542,0,0,23490,0,0
26801,26182,0,25159,"25,000",77500,0
26802,36250,26071,35192,45139,53083,0
26804,17045,19286,11767,0,0,0
26807,27348,19844,21222,30714,50179,51250
26808,29423,80789,40350,0,0,0
26810,45815,0,46060,0,64375,0
26812,37684,0,0,40517,41758,53798
26814,33239,8750,33516,34167,0,0
26815,30966,0,32708,31250,22813,35167
26817,39185,0,38804,0,0,0
26818,32744,0,22420,32423,46250,0
26823,23148,0,23495,0,0,0
26833,31075,33269,29474,36000,30417,29940
26836,23931,21279,23551,13718,31181,38833
26845,38789,0,34125,23083,0,0
26847,26057,22644,25347,26642,36890,0
26851,27297,16379,28160,0,0,45964
26852,30982,0,30513,0,0,0
26855,39050,0,38000,0,45294,0
26865,20132,0,0,0,0,0
26866,19980,18398,27386,0,27778,0
26884,26667,0,24688,19318,54286,0
27006,43427,23125,31980,40363,63389,57798
27007,32083,0,18750,41181,66875,41154
27009,43281,0,39545,42891,52581,0
27011,31033,13608,26234,35258,35865,0
27012,44713,29141,29125,36182,60929,66901
27013,31075,23824,24744,31125,50583,46667
27014,31161,20000,33125,33438,30357,0
27016,31569,19632,33013,30638,45375,58000
27017,28143,22357,28933,24390,35662,51964
27018,32334,27013,24175,39266,45227,49412
27019,35878,13077,36121,36522,39605,45417
27020,31277,25717,29018,32358,47044,38621
27021,34639,15863,30478,35142,42052,53393
27022,25833,19397,26754,37188,0,0
27023,45006,31713,34152,35995,62416,82083
27024,27817,25000,23182,26058,49583,0
27025,33389,24844,31884,33000,39222,52167
27027,26431,20655,26381,28188,31382,32045
27028,30943,20896,27900,31654,39596,46806
27030,28795,22080,26260,28000,41107,51417
27040,40391,30154,29102,38438,41957,65625
27041,33636,20689,26522,35246,46758,56667
27042,40804,0,31853,50221,0,0
27043,31628,20938,21983,35180,41339,50714
27045,36002,26319,32037,40264,39196,47375
27046,30472,0,27974,27476,73145,0
27047,31280,0,31705,26797,62955,0
27048,32268,19503,28247,34160,51510,55236
27050,40363,40804,31352,37171,44983,56563
27051,31970,19212,28474,33101,35500,45694
27052,30419,19821,25395,33262,46367,39896
27053,26316,12083,22240,26283,48292,0
27054,31159,27019,36667,31033,0,0
27055,32293,23231,26107,35843,39667,62560
27101,27677,13083,22662,22047,41181,52841
27103,32256,19990,26209,30448,41653,54002
27104,38655,20161,23414,29848,46372,74803
27105,24103,15737,21757,25427,33042,42857
27106,32929,16085,24772,28383,43119,62960
27107,30175,16404,27295,31044,41847,51042
27109,0,0,0,0,0,0
27110,0,0,0,0,0,0
27127,31620,20411,24761,31032,42055,51990
27201,52143,0,0,0,27143,0
27203,24603,21875,22247,25221,32421,64750
27205,30676,19284,28704,31537,39981,50675
27207,27290,0,22288,26563,50313,44500
27208,30354,27636,25139,36156,43889,0
27209,20219,20139,17239,16199,47614,47375
27212,28854,62941,32792,27865,0,0
27214,34694,22008,34139,30677,42875,55357
27215,32936,18498,27947,32648,41754,52886
27217,25244,18864,22357,27643,36853,40588
27229,25217,17383,26882,21953,26313,36328
27231,34010,21898,25129,29250,60509,67500
27233,38956,35800,36675,38478,56250,81719
27235,46034,15139,40066,39875,58060,105500
27239,31319,26677,30051,31615,53962,54583
27242,28036,17250,31389,23750,44535,0
27243,40147,25865,22466,35888,50804,69940
27244,37166,30196,30694,35286,53333,70083
27248,29189,20429,31955,28298,32644,0
27249,32892,22677,26406,33132,50038,56250
27252,33702,42549,38646,29853,31250,35034
27253,31715,18788,25783,32418,48693,51429
27258,31719,25049,31540,27108,45962,61176
27260,20316,17787,18381,20960,32240,44511
27262,29081,15559,23996,26650,45700,61250
27263,32017,26292,29375,32732,40712,41176
27265,37115,19547,28817,34195,44954,59128
27278,41430,19095,26239,30443,53179,72215
27281,22717,15089,23269,31875,45313,54063
27282,41849,21990,30979,34876,56366,60815
27283,32917,0,27631,41233,41641,51563
27284,38160,19370,30852,38538,48465,54332
27288,25643,20990,23158,25482,35175,59943
27291,48854,0,32813,42404,75163,0
27292,27478,21057,25843,28941,38558,47649
27295,35207,21827,27335,38273,46476,52697
27298,31401,22348,25332,33664,42418,46667
27299,31028,24068,29247,30301,41250,46496
27301,40321,25506,30648,43839,41403,43194
27302,38667,17694,31866,37088,50764,51421
27305,27188,20236,14236,31250,50156,50521
27306,30179,24583,23720,30298,39813,73047
27310,60564,45982,34000,42034,70991,89292
27311,28113,17125,36117,24458,39750,48500
27312,39627,22295,22384,30287,49966,63731
27313,38401,38088,37193,40000,36193,66765
27314,30069,21531,0,33207,38611,0
27315,30000,28370,30833,24750,38000,50500
27316,26478,17661,26520,31744,37798,45536
27317,32736,23900,30074,36542,42455,40786
27320,30151,18438,25395,31780,41855,51285
27325,26061,14979,25938,24549,44167,33988
27326,27109,26228,26708,25625,0,49000
27330,30965,19623,24734,31140,41717,54417
27332,32573,19282,28200,35636,46379,59236
27340,0,0,0,0,0,0
27341,31400,19338,32650,31566,50750,53897
27343,34625,0,36250,30469,45078,54886
27344,27563,21250,26500,29534,54167,54107
27349,34292,22120,29265,36711,28750,0
27350,31392,18015,31753,36759,38188,0
27355,27255,9712,26918,32446,32426,35909
27356,25826,25601,21461,25081,64013,43850
27357,41364,21607,32315,41481,69853,100383
27358,51999,0,31111,44422,66250,113429
27360,31567,26185,26696,33273,39968,44025
27370,31952,23294,30437,31809,42661,0
27371,32716,19512,27468,31087,40329,47000
27376,36890,12833,29844,26636,47005,51857
27377,37099,0,27267,32560,45401,56633
27379,25455,21736,22661,28185,43828,48750
27401,25664,15154,17657,25156,31938,51689
27403,30510,22829,25412,27055,36789,50308
27405,26154,17155,24587,26193,35081,47222
27406,28550,20051,26168,26385,36923,46691
27407,31937,20945,26170,30973,42215,54188
27408,40664,0,26108,31391,42066,68942
27409,32331,23889,27375,28733,36378,45000
27410,39661,24000,27009,31250,47037,56645
27455,42441,16588,26911,30455,50851,76690
27501,33952,22553,30369,35473,46495,49417
27502,53566,20431,24668,41724,62643,83209
27503,28422,0,17180,27411,70395,66500
